,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
125,4.153,3.117,2.565,0.704,0.711,,,1.79,1.402,,,,,10.94,10.99,3.498,3.443,0.5984,,,1.634,,,S-AGB
126,4.343,3.022,2.585,0.832,1.208,,,2.289,1.874,,,,,6.827,5.255,1.908,1.816,0.8578,,0.5103,2.321,,,S-AGB
127,6.183,4.752,3.931,2.654,3.041,,,3.275,3.004,,,,,2.675,2.108,0.7478,0.6852,1.221,,,10.01,,,S-AGB
128,3.206,2.034,1.609,-1.154,-0.057,,,1.11,0.488,,,,,17.83,14.63,6.39,6.535,2.737,1.579,1.49,5.323,,,S-AGB
129,4.784,3.557,3.15,2.612,3.246,,,3.138,2.859,,,,,3.658,3.807,1.346,0.9578,0.4,,,5.525,,,S-AGB
130,5.846,4.322,4.035,3.627,3.399,,,3.523,2.957,,,,,2.286,1.779,0.736,0.7492,2.076,0.6469,0.6455,32.2,0.2417,0.9968,S-AGB
131,6.482,5.517,5.118,4.922,4.851,,,4.753,4.558,,,,,0.6672,0.5285,0.2004,0.25,0.4,,,6.572,,,S-AGB
132,5.142,4.153,3.848,3.647,3.445,,,3.376,3.066,,,,,2.221,1.814,0.6218,0.5563,3.941,,,40.97,,,S-AGB
133,5.65,4.722,4.191,3.991,4.092,,,3.621,3.093,,,,,1.659,1.432,0.6943,0.516,0.4,,,1,,,S-AGB
134,6.413,4.492,3.695,2.111,2.075,,,2.74,1.909,,,,,4.188,3.674,1.68,1.511,1.018,,,17.63,,,S-AGB
135,6.459,5.257,4.74,4.303,4.294,,,4.338,4.138,,,,,1.033,0.8547,0.2704,0.2467,0.5713,,,6.903,,,S-AGB
136,4.982,3.749,3.495,2.252,3.147,,,2.965,2.728,,,,,3.513,2.619,0.9578,0.8069,0.4,,,1.64,,,S-AGB
137,-0.71,-1.564,-1.873,3.564,1.047,,,-2.636,-3.006,,,,,,479.9,295.799988,208.7,32.58,25.559999,16.98,10.1,4.185,2.787,S-AGB
138,5.605,4.869,4.277,4.12,3.857,,,4.032,3.791,,,,,1.321,0.9923,0.3858,0.2952,0.4279,,,6.234,,,S-AGB
139,6.687,5.585,5.129,4.538,4.794,,,4.536,4.099,,,,,0.8023,0.6788,0.2677,0.3474,0.4,,,2.028,,,S-AGB
140,5.822,4.977,4.512,4.33,4.127,,,3.884,3.004,,,,,1.294,1.345,0.7195,0.7192,0.4,,,1.057,,,S-AGB
141,4.578,3.347,2.778,1.196,0.898,,,1.372,0.653,,,,,13.64,11.62,5.76,5.923,1.899,0.978,1.072,31.35,,0.5793,S-AGB
142,4.795,3.427,3.039,1.643,2.76,,,2.618,2.324,,,,,5.027,4.018,1.396,1.186,0.2234,,,1.326,,,S-AGB
143,5.412,4.369,3.982,3.765,3.548,,,3.683,3.523,,,,,1.933,1.517,0.5064,0.3033,0.939,,,6.463,,,S-AGB
144,4.283,3.281,2.789,1.583,0.965,,,1.263,0.809,,,,,10.26,9.712,5.106,4.021,0.7377,,,1,,,S-AGB
145,5.119,4.221,3.734,3.488,3.139,,,2.734,2.527,,,,,3.279,2.198,0.9877,0.7168,0.4,,,1.574,,,S-AGB
146,6.571,5.674,5.103,4.459,3.789,,,3.228,2.492,,,,,2.467,2.215,1.216,0.9529,0.4,,,5.25,,,S-AGB
147,5.439,4.51,4.03,3.843,3.557,,,3.382,2.975,,,,,2.17,2.126,0.7901,0.6363,1.069,,,4.746,,,S-AGB
148,6.776,5.74,5.246,5.008,5.144,,,4.62,3.853,,,,,0.6869,0.6597,0.2649,0.2825,0.4,,,1.33,,,S-AGB
149,6.346,4.745,3.854,2.593,2.971,,,1.662,0.443,,,,,6.543,8.928,5.758,7.438,6.049,,,80.06,,,S-AGB
150,0.793,-0.193,-0.596,-0.141,1.342,,,-1.145,-2.094,,,,,172.899994,162,79.089996,72.12,14.16,8.034,7.167,13.74,3.916,2.62,S-AGB
